user_id,item_list
1,101 36 403 3 506 2 515 85 112 8
2,2 4 11 3 47 6 28 50 9 5
3,59 648 584 956 259 536 414 239 1097 4252
4,28 50 1 2 4 3 5 6 145 9
5,4 8 77 2 6 20 14 44 51 88
6,2 6 3 14 8 7 19 33 20 11
8,210 95 2 80 4 42 17 722 3 6
9,9018 17799 20151 20079 21322 18119 10108 5724 20199 21157
10,17 2 47 50 27 3 7 42 1446 1816
11,31 40 58 4 2 6 7 34 44 99
12,2 20 6 7 60 16 139 77 9 31
13,11016 9813 10234 9817 11747 11048 12372 1316 10949 11174
14,6 7 1 4 14 90 17 51 3 8
15,2 17 35 4 1 28 56 19 220 3
16,7 617 29 4 105 54 88 51 14 107
17,4 1 2 11 19 17 3 16 44 5
18,14 255 88 766 108 179 8 1 7 617
19,764 252 636 639 928 154 1146 1273 101 138
20,467 376 573 313 242 129 134 279 764 344
21,152 405 1111 458 615 873 5 484 1 13
23,1279 2295 82 282 1290 754 308 89 6111 236
24,15801 21840 8516 1705 179 9953 1193 19330 596 1927
25,18088 19548 11929 10011 19733 13332 8963 14259 6105 1309
26,139 1089 254 1005 41 350 292 3 314 474
28,11 3 19 47 9 39 41 33 5 20
29,28 47 17 50 3 27 2 1 4 145
30,1 9 4 3 23 19 7 17 12 22
32,379 1393 2316 1986 2734 550 418 3576 15941 287
33,4 2 8 3 95 48 19 24 22 74
34,202 88 365 81 87 17462 434 10001 179 17480
35,314 254 139 146 165 996 316 1079 474 1824
36,4 3 6 14 22 20 19 16 44 48
38,4 2 14 7 101 11 8 3 19 51
39,4 1 8 3 304 134 2 32 31 36
40,31 4 17 3 1 9 58 19 47 14
41,31 55 58 4 1 9 20 33 6 22
42,3 2 15 7 1 36 10 4 31 8
43,8 238 15 36 2 4 1 13 35 21
44,7 1 2 51 6 30 4 14 217 487
45,19 15 14 4 80 2 10 202 1 85
46,22 19 20 48 33 74 14 141 174 4
47,96 38 4 3 154 85 15 2 72 214
48,28 17 47 27 37 42 2 7 1 145
49,116 148 4 32 3 2 96 8 182 20
50,6 8 4 2 1 25 44 177 67 24
51,4 2 22 19 24 80 48 33 238 25
52,94 262 133 36 15 31 3 146 139 2
53,3970 7075 6472 6471 6273 7516 6277 18028 4819 9043
54,2 19 4 8 6 1 48 33 11 20
55,5255 12798 13878 6617 21154 6095 6941 12491 6455 10578
56,4 99 1 6 8 7 20 66 60 116
57,160 144 168 104 319 288 149 450 186 2
58,2404 101 36 161 3945 433 582 403 13965 699
59,1190 612 353 261 1 1551 347 994 415 1071
60,517 189 44 0 284 808 285 1 557 1266
62,411 583 278 291 905 950 545 2669 85 4676
63,2 4 20 80 1 6 65 1316 8 1668
64,41 3 5 2 1 7 36 43 9 13
65,517 189 44 0 284 808 285 1 557 1266
67,2 4 7 17 6 23 35 28 31 26
68,138 96 67 7 8 324 281 4 81 15
69,4 6 19 14 2 22 8 95 33 20
70,2 1 19 22 33 74 67 44 135 7
72,7169 9653 7454 10901 10910 8620 41 39 58 76
73,21 2 3 112 125 15 8 85 154 51
74,11 47 27 42 2 4 37 6 145 5
75,2 56 9 1 19 48 14 103 33 80
76,31 40 55 76 2 3 77 66 308 5
77,7 1 6 19 8 3 22 11 33 15
78,2 7 4 6 3 81 36 8 25 5
79,138 66 208 77 3 2 1 344 146 8
81,4 8 2 22 20 19 6 48 33 66
82,55 76 3 4 2 33 1 20 49 19
83,1083 1214 5 1288 41 76 58 40 39 3
84,4 2 3 41 31 20 39 22 19 8
85,31 39 41 116 60 2 4 1 22 20
86,154 28 17 11 47 37 145 27 42 298
88,4 99 2 1 3 6 133 77 8 60
89,138 10 3 2 4 1 35 8 154 39
90,9 3 1 13 4 21 64 35 7 109
91,2 7 4 9 8 38 35 20 56 41
92,21604 21868 21223 19606 18944 14083 9622 16396 9984 7631
93,95 220 174 17 4 27 28 22 1024 20
94,11 28 42 4 1 51 6 2 179 37
95,4 44 2 1 6 16 20 26 3 19
96,72 766 483 1264 88 601 617 118 135 401
97,4 453 2 8 1 7 3 6 359 19
98,11765 7839 8688 13600 21 3 13494 7 40 15
99,96 138 57 64 204 21 356 995 527 10
100,313 6 2 764 4 3 636 99 14 11
101,82 2314 837 754 282 1290 624 1207 343 828
102,2904 2843 2283 2284 2585 3208 2958 15 6 2147
103,1 4 3 7 9 11 6 17 5 19
104,2 3 4 1 9 8 6 23 11 19
105,8752 19078 18668 6820 9257 16862 20359 6804 21120 12791
107,39 55 4 3 2 1 7 6 33 20
108,34 94 32 1 182 15 7 4 208 88
109,4 1 2 7 14 8 131 3 51 10
110,58 76 2 19 3 33 4 48 82 77
111,95 35 2 56 4 59 22 19 48 220
112,365 51 87 81 15 88 36 217 105 108
113,104 168 9 56 184 224 240 149 372 310
114,17 5 50 27 2 37 42 1 41 111
115,44 4 6 1 16 2 7 3 19 14
116,15 101 161 354 7 403 337 1 34 506
117,88 87 179 72 34 217 108 202 81 798
118,7 112 30 18 70 127 15 167 295 3
119,102 179 300 88 416 813 596 725 2 284
121,3659 2575 2886 3755 3134 6784 1971 2729 4050 4807
122,1 3 7 17 28 6 19 40 27 9
123,33 4 65 103 73 20 19 8 115 2
124,94 34 4 8 3 346 1 20 32 715
126,4 8 131 177 44 72 88 67 118 238
127,41 40 2 11 39 55 42 50 35 4
128,42 11 50 28 37 1 145 5 2 19
129,31 40 58 3 147 4 76 585 262 7
130,148 116 175 593 378 6 736 428 7 1
