user_id,item_list
1,19678 18950 18356 14871 14128 13300 11912 9837 9296 8942
2,21326 21160 19154 18697 18556 16862 16014 15981 15978 13482
3,9915 6112 5841 4623 4117 3892 3716 3527 3466 3152
4,19160 17787 12616 11575 10561 9656 8388 7284 6795 6152
5,20293 18825 16442 16388 14779 4795 3034 21501 21319 20184
6,21268 16159 14593 13973 12877 9564 8876 8771 8768 7888
8,19252 14678 11721 11524 11203 10406 9938 9565 9083 8933
9,21157 21052 20079 19909 17799 16677 16588 14636 13038 10958
10,20036 14138 13853 12669 9697 9241 7259 6800 6271 5406
11,20391 19257 18845 15924 14824 14442 13275 11855 11786 10010
12,22206 20705 20302 19767 19555 17710 17604 17345 17184 16382
13,13872 9057 7836 5790 4996 3917 3904 2279 21031 15162
14,19723 18179 17295 16159 15405 14408 13698 12597 12337 12031
15,11480 10062 8653 7244 7044 5418 5094 4808 2803 2412
16,19063 17736 17554 16997 16983 15291 14375 13820 13694 13626
17,2089 1400 157 80 19 47 11 517 189 44
18,19156 18427 17500 15708 15216 13555 13196 12323 12070 11305
19,20664 19377 17004 16204 16156 16140 11907 11902 8649 6668
20,22218 21773 21574 21064 20675 20449 19982 19925 17666 17137
21,22272 20222 20221 18605 14012 13929 13656 13498 12608 12318
23,3273 834 362 335 226 210 181 142 132 80
24,21587 18934 17156 16978 16882 14513 14201 13383 13156 12234
25,19973 18088 17989 15097 13580 11929 11598 10011 8482 6190
26,21332 18928 18538 14744 14273 13564 11990 10640 9789 9283
28,17771 15838 15415 12064 12030 12029 11572 10523 8398 6989
29,22233 20952 20408 16570 15536 14290 14287 13792 13328 12815
30,21864 21118 20475 20467 18471 17976 17975 17973 17971 17054
32,14296 11962 10318 9584 7943 6977 5135 4661 4318 3691
33,19213 13748 12894 11169 10633 10281 9796 9656 9106 7624
34,21656 20491 18927 18876 17650 17643 17462 15826 12872 12796
35,7405 6377 6236 5339 5157 5140 5040 5000 4290 3844
36,22281 19754 18113 17412 16873 12754 10352 9697 9516 8190
38,21853 18149 18022 17136 16347 15883 14097 9876 9532 6901
39,20884 19973 19678 18950 18356 17445 16452 16066 14871 12252
40,21135 20093 18905 18068 17238 15311 12180 11977 10206 8838
41,10625 8373 6246 6085 5984 4614 2981 12292 1288 1214
42,19634 19113 18984 16928 14636 14310 11248 10900 10572 10487
43,18377 16417 11609 11176 10768 10229 3023 2432 823 18627
44,20281 18739 18737 18174 17133 15486 14877 14550 14175 11378
45,22212 21681 21551 21186 19892 19370 17862 17566 17486 16626
46,12018 10412 6505 4090 3727 3412 3358 3350 3328 2554
47,19222 7387 1072 20618 20145 20144 17932 8119 7930 7227
48,21211 21170 18985 18391 17231 16883 16447 16089 12192 12073
49,8088 5671 5094 3568 2803 2740 2306 1875 1347 1343
50,5995 517 189 44 0 284 808 285 1 557
51,20775 10534 10466 8776 7796 6948 5822 2365 2085 2056
52,22333 21285 20135 19714 19684 19661 17429 16092 16091 15931
53,18461 18028 13818 13682 11721 11620 11619 10821 10133 9569
54,20906 12015 443 6357 174 19 238 517 189 44
55,15616 12491 10578 6941 6617 6095 5572 5500 5404 5373
56,22040 6783 4894 4072 3541 2650 1976 1259 22239 20407
57,19589 17352 16326 13546 12281 12273 11022 10182 10016 8459
58,22145 18695 18564 18488 18297 18073 18004 16556 16011 15176
59,16871 9957 9263 6089 5652 4776 4110 3947 3631 3102
60,517 189 44 0 284 808 285 1 557 1266
62,21988 18859 18463 16644 13178 12649 11480 10475 6481 6242
63,11570 10372 9367 9269 8318 7251 2048 1567 19715 18646
64,20185 19319 17667 15105 14721 14180 13689 12826 12818 11245
65,517 189 44 0 284 808 285 1 557 1266
67,18235 18094 18075 16924 10058 10057 5409 3604 3035 2951
68,20838 17475 17193 15945 14056 10977 10058 10057 9517 9465
69,20977 19129 18678 17248 14524 13751 10562 10464 9902 7706
70,21763 19142 16757 16404 16191 10581 10104 6556 6347 5552
72,9525 7041 7006 1916 1861 1421 1090 936 11593 9011
73,18925 18807 18518 16614 16613 16567 16559 15682 15636 14282
74,21957 21646 21349 17333 17286 14209 12909 10373 9881 9352
75,21782 21156 20974 18777 16971 16733 15836 11331 10395 10286
76,22158 21991 21827 21655 21233 19227 18734 17701 17422 15775
77,18837 15339 14896 11289 11083 10052 9633 8388 7927 5607
78,19905 17782 15210 14405 14315 12754 10776 7957 6484 6424
79,18987 16951 16699 12953 11401 11315 11256 10950 9272 9116
81,21660 21009 17427 15743 15412 13921 13664 12813 11444 10394
82,19003 18783 17048 16930 15346 15224 14163 13514 13496 12188
83,22038 21180 19472 17681 17342 14295 14149 13985 12714 12013
84,12934 5059 4902 2112 441 314 144 139 21969 16819
85,14125 10384 8787 8600 6207 5929 5365 5139 4338 4137
86,20283 18113 18038 15781 14652 14575 13424 13010 10897 10862
88,20252 18308 16216 13621 13125 10933 10745 9744 9564 8698
89,20007 18860 15318 13855 13119 11108 11043 10598 9330 7755
90,20899 20012 14982 14981 14583 13788 11745 9301 9089 8723
91,11752 7750 6086 5525 4592 4309 4039 3654 1906 1044
92,21868 19606 16396 15620 14852 14340 14043 13899 12520 11740
93,17636 10499 7301 4768 3914 2964 1422 16860 15615 14813
94,17509 14571 13752 13674 13230 11480 9132 9121 8963 7707
95,20942 20789 19289 17536 15037 14670 14491 13794 13303 12504
96,9821 6932 4692 517 189 44 0 284 808 285
97,22217 21823 20980 19467 19292 15352 12483 12191 11610 10724
98,20491 20444 18738 18705 18537 18534 18169 17162 16144 15980
99,20582 20403 19897 18051 17670 15250 12502 10861 10710 10211
100,13755 12773 12323 10095 10092 6174 5911 5659 5350 4826
101,21905 18367 17079 16664 14819 14128 13087 12598 11507 11303
102,16437 11170 11051 2008 7205 20147 17938 14695 11620 11619
103,22053 21664 20673 19687 17652 16566 16408 12991 12407 10524
104,22278 19722 17479 14645 14449 6396 6153 5184 2797 1143
105,19310 18668 13457 12059 11843 9257 8752 8285 6820 6804
107,22041 19182 18117 17242 16451 15130 14748 13920 13123 12265
108,21739 21035 19120 18799 18191 17085 16002 15547 15466 15077
109,20545 18972 18966 17061 14268 14266 13832 11385 10534 10365
110,20340 17833 17617 15850 15827 14334 11455 9506 9503 8935
111,2731 414 59 2935 2678 584 536 95 517 189
112,21853 21538 21347 20857 18532 18402 17304 17301 16898 16545
113,20017 18036 17456 16301 15911 15217 14397 13332 13143 12682
114,18950 18513 16778 16053 15191 11172 8409 7611 7050 6339
115,22346 20574 20480 19878 17462 16160 14529 14418 14331 13493
116,517 189 44 0 284 808 285 1 557 1266
117,7270 6650 5667 4894 3462 517 189 44 0 284
118,6707 6507 6161 5488 4196 3766 3159 2483 2155 1792
119,20940 20811 20389 20066 19553 19523 19066 17444 17266 16531
121,21496 20841 18676 18483 12876 12855 11955 8855 8815 7463
122,19228 14026 12625 12469 9019 7729 7416 3489 1937 971
123,18849 12732 12655 12457 12399 11505 10887 6581 5054 4140
124,15804 12442 8135 7370 7358 7323 5484 4972 4532 3494
126,21754 20530 20408 19381 18860 16570 15603 15536 14290 14069
127,18725 18606 18272 16597 16051 15090 14457 14000 10384 10093
128,21428 21022 20914 15179 15118 13174 12605 10526 10305 10300
129,3029 19305 17656 16322 14409 12876 11560 9587 9254 8925
130,21883 19387 16825 16618 16468 16460 14930 13691 12810 11653
131,22277 22209 22065 19811 18496 18370 16002 14473 11958 11383
132,18685 18098 15131 10108 8673 7629 6893 5970 5808 4343
134,19082 14816 13857 12767 11983 11087 9895 9582 9517 9039
135,22047 21985 20770 15399 15211 15178 14431 13942 11031 10079
136,20864 20863 18054 18030 17693 13235 12233 11961 10235 10195
137,19266 18754 18613 16916 16157 15356 15272 13159 13004 12860
138,21868 14733 12872 12821 11038 10276 10185 10183 9450 9407
139,17537 15546 15055 9135 6320 6036 3881 3020 2994 2704
140,21940 13848 12669 11684 11142 9898 8593 7835 7409 6937
141,22078 19141 17545 16664 14785 14676 14585 14147 13982 12773
142,20308 13071 8321 5137 4107 4011 3567 3381 3242 3175
143,13939 5569 5371 5356 5082 4588 4444 4061 3961 3603
144,22341 22292 21396 18774 18509 14371 13861 13778 12097 9687
145,21704 14243 12868 12114 6546 6002 5376 4776 4624 4110
146,21015 19133 19122 10928 8876 1823 1736 893 471 403
147,95 6318 517 189 44 0 284 808 285 1
148,22190 19110 16721 14538 14397 13829 13007 12525 11984 10715
149,18510 18428 15096 14955 12786 12167 10313 8227 4792 4311
151,21004 18668 15598 13966 12219 11987 11978 11686 11307 9794
152,18700 15038 12985 11500 10019 7672 6449 5810 5078 3724
153,3793 17 517 189 44 0 284 808 285 1
154,20523 15083 9590 9552 9067 9059 5804 5226 4689 4082
156,12057 9468 7030 6808 6174 5403 5059 4322 4024 4006
157,18527 13732 12752 12101 9529 7732 6821 6260 6024 4980
158,21810 21715 20533 18681 18547 16562 15317 15239 15017 14093
160,21072 18497 17117 16901 15209 14146 13977 9215 9191 7945
163,21656 17052 16778 15387 14237 12692 11860 11291 11071 7198
164,21457 20249 19174 17766 17684 16149 16020 16016 15930 14737
165,18904 18143 17796 16942 13770 13107 13105 13095 11512 11091
167,8964 3840 1887 807 184 517 189 44 0 284
168,517 189 44 0 284 808 285 1 557 1266
171,21570 21422 19103 17041 15420 14083 11993 10516 9763 8739
172,18709 17571 17098 14359 14012 13076 13000 12936 12656 12504
173,20870 20142 20141 20139 20137 20136 20102 18793 18516 17927
174,22343 19864 19558 19449 19244 18700 13314 13170 12659 11464
175,16956 16585 16448 9864 9247 7627 4339 2879 2149 5907
177,21536 20100 19342 16582 16334 14049 14012 13592 12812 12080
178,17204 15701 10023 9847 9141 8824 8601 7337 6914 6809
181,21941 21165 20980 19051 18017 17414 17413 15649 14817 14584
182,3793 28 11 42 27 517 189 44 0 284
183,22010 21945 21358 18156 16772 12929 9834 8911 8787 8567
184,20857 20441 16385 15289 11388 11125 10953 10282 7424 7398
185,15676 9834 8379 7162 6668 6628 5209 5087 4368 4131
187,18807 18518 16527 14605 13941 13818 13805 13138 9818 8993
188,21300 21137 15308 11995 11377 11145 10736 10515 10328 9269
189,17469 16873 15498 14670 14628 14550 13684 12080 10194 7927
191,20772 18677 16921 9612 5849 5688 5302 4937 4695 3820
192,22302 22226 21993 19557 19035 18635 14066 13356 12887 12717
193,22050 20947 19925 19484 18584 17820 17560 16156 16049 14486
194,20934 18580 18334 17695 17595 17125 16644 15833 14477 14189
196,22039 16696 14048 12087 10022 9536 9251 6561 5937 5210
197,18056 16207 9837 9558 7787 6715 6568 6473 6368 6348
198,3527 1859 1073 986 857 750 511 375 5982 3242
