user_id,item_list
1,517 189 44 284 808 285 557 1266 45 1265
2,517 189 0 284 808 285 1 557 1266 1265
3,517 189 44 0 284 808 285 1 557 1266
4,517 189 44 0 284 808 285 1 557 1266
5,517 189 0 284 808 285 1 557 1266 45
6,517 0 284 808 285 1 557 1266 45 1265
8,517 189 0 284 808 285 1 557 1266 45
9,517 189 44 0 284 808 285 1 557 1266
10,517 189 44 0 284 808 285 1 557 1266
11,517 189 44 0 808 1 557 1266 45 1265
12,517 0 284 808 557 1266 45 1265 206 841
13,517 189 44 0 284 808 285 1 557 1266
14,517 189 44 0 284 808 285 1 557 1266
15,517 189 44 0 284 808 285 1 557 1266
16,517 189 44 0 284 808 285 1 557 1266
17,517 189 44 0 284 808 1 557 1266 45
18,517 189 44 0 284 808 285 1 557 1266
19,517 189 44 0 284 808 285 557 1266 45
20,517 189 44 0 284 808 285 1 557 1266
21,517 189 44 0 284 808 285 1 557 1266
23,517 189 44 0 808 285 1 557 1266 45
24,517 189 44 0 284 808 285 1 557 1266
25,517 189 44 0 284 808 285 1 557 1266
26,517 189 0 284 808 285 1 557 1266 45
28,0 284 285 1 557 1266 45 1265 206 841
29,517 189 44 0 284 808 285 1 557 1266
30,189 44 0 284 808 285 1 557 1266 45
32,517 189 44 0 284 808 285 1 557 1266
33,517 189 44 0 284 808 285 1 557 1266
34,517 189 44 0 284 808 285 1 557 1266
35,517 189 44 0 284 808 285 1 557 1266
36,189 284 808 285 1 1266 45 1265 206 83
38,517 189 44 0 284 285 1 557 1266 45
39,517 189 44 0 284 808 285 557 1266 45
40,189 44 0 284 285 1 557 1266 1265 206
41,189 44 0 284 808 285 1 557 1266 45
42,517 189 44 0 284 285 1 557 1266 45
43,517 189 44 0 284 808 285 1 557 1266
44,517 189 44 0 284 808 285 1 557 1266
45,517 189 44 0 284 808 285 1 557 1266
46,517 189 44 0 284 808 285 1 557 1266
47,517 189 284 1 557 1266 45 1265 206 841
48,517 189 44 0 284 808 285 1 557 1266
49,517 189 0 284 808 285 1 557 1266 45
50,517 189 44 0 808 285 1 557 1266 45
51,517 189 0 284 1 557 1266 45 1265 206
52,517 189 44 0 284 808 285 1 557 1266
53,517 189 44 0 284 808 285 1 557 1266
54,517 189 44 284 808 285 1 557 1266 45
55,517 189 44 0 284 808 285 1 557 1266
56,189 44 0 808 285 1 557 1266 45 1265
57,517 189 44 0 284 808 285 1 1266 45
58,517 189 44 0 284 808 285 557 1266 45
59,517 189 44 0 284 808 285 557 1266 45
60,517 189 44 0 284 808 285 1 557 1266
62,517 189 44 0 284 808 285 1 557 1266
63,517 189 44 0 284 808 285 1 557 1266
64,517 44 0 284 808 285 557 1266 45 1265
65,517 189 44 0 284 808 285 1 557 1266
67,517 189 0 808 285 1 1266 1265 206 48
68,517 189 0 284 808 285 1 557 1266 45
69,517 189 0 284 808 285 1 557 1266 45
70,517 44 0 284 1 557 45 206 841 83
72,517 189 44 0 284 808 285 1 557 1266
73,517 189 44 0 284 808 285 1 557 1266
74,517 189 0 808 285 1 557 1266 45 1265
75,517 44 0 284 285 1 557 45 1265 206
76,517 189 44 0 284 808 285 1 1266 45
77,44 0 284 808 285 1 557 45 206 841
78,517 189 0 284 808 285 1266 45 1265 206
79,517 44 0 284 808 285 1 557 45 1265
81,517 189 44 0 284 808 285 1 557 1266
82,517 189 44 0 284 808 285 1 557 1266
83,517 189 44 0 284 808 285 1 557 1266
84,517 189 0 284 285 557 1266 45 206 841
85,517 189 44 0 808 285 1 557 1266 45
86,517 189 44 0 284 808 285 1 557 1266
88,517 189 44 0 284 808 285 1 1266 45
89,517 189 44 284 808 285 1 1266 45 1265
90,517 189 44 0 284 808 285 1 557 1266
91,517 189 0 284 285 1 557 1266 1265 206
92,517 189 44 0 284 808 285 1 557 1266
93,517 189 44 0 284 808 285 1 557 1266
94,517 189 44 0 284 808 285 1 557 1266
95,517 189 44 284 808 1 557 1266 45 1265
96,517 189 44 0 284 808 285 1 557 1266
97,517 189 44 0 284 808 285 1 557 1266
