user_id,item_list
1,517 189 284 808 285 557 1 1266 1265 841
2,517 189 44 0 284 808 285 557 1 1266
3,517 189 44 0 284 808 285 557 1 1266
4,517 189 0 284 808 285 557 1 1266 1265
5,517 0 284 808 285 557 1 1266 1265 841
6,517 189 44 0 284 808 285 557 1 1266
8,517 189 44 0 284 808 285 557 1 1266
9,517 189 44 0 284 808 285 557 1 1266
10,517 189 0 808 557 1 1266 1265 45 841
11,517 0 808 557 1266 1265 45 841 206 83
12,517 189 44 0 284 808 285 557 1 1266
13,189 44 0 284 808 285 557 1 1266 1265
14,517 189 44 0 284 808 285 1 1266 1265
15,517 189 44 0 284 808 285 557 1 1266
16,517 189 44 0 284 808 557 1 1266 1265
17,517 189 44 0 284 808 285 557 1 1266
18,517 189 44 0 284 808 285 557 1266 1265
19,517 189 44 0 284 808 285 557 1 1266
20,517 189 44 0 284 808 285 557 1 1266
21,517 189 44 0 808 285 557 1 1266 1265
23,517 189 44 0 284 808 285 557 1 1266
24,517 189 284 808 285 557 1 1266 1265 45
25,517 189 44 0 284 808 285 557 1 1266
26,0 284 285 557 1 1266 1265 45 841 206
28,189 44 0 284 808 285 557 1 1266 1265
29,517 189 44 0 284 808 285 557 1 1266
30,517 189 44 0 284 808 285 557 1 1266
32,517 189 44 0 284 808 285 557 1 1266
33,517 189 44 0 284 808 285 557 1 1266
34,189 284 808 1 1266 1265 206 83 809 2
35,517 189 44 0 284 808 285 557 1 1266
36,517 189 0 284 285 557 1266 1265 45 841
38,189 44 0 284 557 1 1266 1265 206 48
39,189 44 808 285 557 1 1266 1265 45 841
40,517 189 44 0 284 285 557 1 1266 1265
41,517 189 44 0 284 808 285 557 1 1266
42,517 189 44 0 284 808 285 557 1 1266
43,517 189 44 0 284 808 285 557 1 1266
44,517 189 44 0 284 808 285 557 1 1266
45,517 189 284 557 1 1266 1265 45 841 206
46,517 189 44 0 284 808 285 557 1 1266
47,517 189 0 284 808 285 557 1 1266 1265
48,517 189 44 0 808 285 557 1 1266 1265
49,517 189 0 284 557 1 45 841 206 83
50,517 189 44 0 284 808 285 557 1 1266
51,517 189 44 0 284 808 285 557 1 1266
